Reviewer,Brand,Model,model,Location,lat,long,country,subreg1,subreg2,Study.Type,Freq1,Freq2,Freq3,Notes,Duration1,Duration2,Duration3,Duration4,Depth1,Depth2,Depth3,Depth4,Notes.1,Accuracy1,Accuracy2,Notes.2,Calibrated,Notes.3,Shaded,Notes.4,Data.Available,Notes.5,Citation,DOI,Notes.6,X
Jess,RBR,XR-420 CTDs,XR-420 CTDs,"05520N, 162050W",5.8833,-162.0833,Line Islands,,,Management,0.0167,60,NA,1x/sec to 1x/60min,a few min to 731days,spanning 10-year period,,,10,,,NA,top 10m (values across top 10m averaged),Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Gardner JPA, Bartz RJ, Brainard RE, Collen JD, Dunbar RB, Garton DW, Powell S (2014) Conservation management options and actions: Putative decline of coral cover at Palmyra Atoll, Northern Line Islands, as a case study. Marine Pollution Bulletin 84: 182-190",10.1016/j.marpolbul.2014.05.013,,compiled data from multiple loggers and CTDs
Nicole,RBR,RBR TWR2050,RBR TWR2050,"Manihiki (Cook Islands) & Takaroa, Tatakoto and Tubuai (French Polynesia) ",-17.6797,-149.4068,French Polynesia,Tahiti,,Physical Oceanography,15,,NA,15 (RBR TWR2050),2yrs 4 months - 3 yrs 7 months (SBE56),1 yr 2 months - 2 yrs 7 months (RBRduo),,2 yrs 2 months (TWR2050),1.2,,,NA,1.2 (TWR2050),Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Van Wynsberge et al., 2017",http://dx.doi.org/10.1016/j.ecss.2017.09.033,10 different sensors used from 3 different models,
Nicole,RBR,RBRduo,RBRduo,"Manihiki (Cook Islands) & Takaroa, Tatakoto and Tubuai (French Polynesia) ",-17.6797,-149.4068,French Polynesia,Tahiti,,Physical Oceanography,30,,NA,30 (SBE56 & RBRduo),2yrs 4 months - 3 yrs 7 months (SBE56),1 yr 2 months - 2 yrs 7 months (RBRduo),,2 yrs 2 months (TWR2050),3.4,4,15,NA,"3.4, 4, 15 (RBRduo)",Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Van Wynsberge et al., 2017",http://dx.doi.org/10.1016/j.ecss.2017.09.033,10 different sensors used from 3 different models,
Nicole,ReefNet,Sensus Ultra,Sensus Ultra,"Heron Reef (23°27′W), Great Barrier Reef, Australia",-23.51217,151.9535,Australia,,,Ecology,Not mentioned,,NA,,5 yrs 6 months (SBE-39P)  ,4 yrs 4 months (SBE-16),7 yrs 3 months (Sensus Ultra) ,18 yrs 4 months (Sensus Ultra),0.3,7.9,,NA,0.3 (Sensus Ultra); 7.9 (Sensus Ultra),0.8,,,Not mentioned,,Not mentioned,,Yes,,"Sadler et al., 2016",http://dx.doi.org/10.1002/2015PA002898,,
Nicole,ReefNet,Sensus Ultra,Sensus Ultra,"Lord Howe Island (31.5°S), Australia",-31.55,159.0833,Australia,,,Ecology,30,,NA,,1 yr,,,,2.4,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Anderson et al., 2015",http://dx.doi.org/10.1007/s00338-014-1251-1,,
Nicole,ReefNet,Sensus Ultra,Sensus Ultra,"Thai–Malay Peninsula (1–8°N, 98–105°E), Southeast Asia ",8,105,Thailand,,,Ecology,60,,NA,,5 months,20 months ,,,Not mentioned,,,NA,,Not mentioned,,,Yes,,Not mentioned,,No,,"Tanzil et al., 2013",http://dx.doi.org/10.1111/gcb.12279,,
Nicole,ReefNet,Sensus Ultra,Sensus Ultra,"Heron Island, Great Barrier Reef, Australia (e.g., ,  and 23°27′14.50″S, 151°55′34.55″E)",-23.44681,151.91667,Australia,,,Ecology,10,,NA,,1 yr and 5 months,,,,1,6,,NA,"""~30cm above substratum"" (~1-6m)",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"van Oppen, 2018",http://dx.doi.org/10.1111/mec.14763,,
Nicole,ReefNet,Sensus Ultra,Sensus Ultra,"Tantabiddi  (21°53'15""S, 113°59'02""E) and (Coral Bay 23°12'30""S, 113°46'18""E), Ningaloo lagoon, Australia",-23.20833,113.77167,Australia,,,Ecology,30,,NA,,26 months,,,,2,5,,NA,5-Feb,Not mentioned,,,Yes,,Not mentioned,,No,,"Fulton et al., 2014",http://dx.doi.org/10.4319/lo.2014.59.1.0156,,
Jess,ReefNet,Sensus Ultra,Sensus Ultra,17.5S 119.0E; 20.5S 116.0E,-17.5,119,Australia,,,Management/Data validation,10,,NA,,approx. 456,,,,Not mentioned,,,NA,0.5m above seafloor,0.8,,,Yes,,Not mentioned,,No,available via cited sources,"Baldock J, Bancroft KP, Williams M, Shedrawi G, Field S (2014) Accurately estimating local water temperature from remotely sensed satellite sea surface temperature: A near real-time monitoring tool for marine protected areas. Ocean & Coastal Management 96: 73-81",10.1016/j.ocecoaman.2014.05.007,,
Lena/Erik,Royal Netherlands Institute for Sea Research,High Resolution NIOZ4 T sensor ,High Resolution NIOZ4 T sensor ,"16° 31.84′ S, 151° 42.27′ W",-16.53067,-151.7045,French Polynesia,,,Physical Oceanography,Not mentioned,600 s,NA,"""The T sensors were sampled at a rate of 1 Hz"" ",3 weeks,,,,2,,,NA,,0.0001,,,Yes,,Unclear,,No,,van Haren 2020,http://dx.doi.org/10.2112/JCOASTRES-D-19-00154.1,,
Jess,Ryan Industries,TempMentor 1.0,TempMentor 1.0,"Buck Island National Monument, St Croix",17.78694,-64.61916,Caribbean,,,Biogeochemistry,30,,NA,,approx. 5475 (1992-2007),,,,10,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Alpert, A. E., Cohen, A. L., Oppo, D. W., DeCarlo, T. M., Gaetani, G. A., Hernandez-Delgado, E. A., Winter, A., and Gonneea, M. E. (2017), Twentieth century warming of the tropical Atlantic captured by Sr-U paleothermometry, Paleoceanography, 32, 146– 160, doi:10.1002/2016PA002976.",10.1002/2016PA002978,used to validate sat data and calibrate coral skeleton data,
Nicole,Ryan Industries,thermistor,thermistor,"Yawzi Point, St. John, US Virgin Islands",18.3152,-64.7257,Caribbean,,,Ecology,15,30,NA,,1 yr & 1 yr 9 months (Ryan Industries thermistor),5 months & 2 yrs (Optic Stowaway loggers),,~10 yrs (HOBO Aqua Pro),11,,,NA,,0.3,,,Not mentioned,,Not mentioned,,Yes,,"Edmunds et al., 2021",http://dx.doi.org/10.1002/lno.11650,,
Lena,Ryan Industries,thermistor,thermistor,"west Little Lameshur Bay (N 18° 19.023⸍, W64° 43.682⸍), Europa Bay (N 18° 18.996⸍, W64° 43.793⸍), White Point (N 18° 18.879⸍, W64° 43.891⸍), Cabritte Horn (N 18° 18.421⸍, W64° 43.279⸍), east Tektite (N 18° 18.657⸍, W64° 43.312⸍), and Neptune's Table (N 18° 18.739⸍, W64° 43.379⸍)",18.30702,-64.72132,Caribbean,,,Ecology,15,30,NA,15-30,"January 1992-April 1997, and November 1997 to August 1999","May 1997 to October 1997, and August 1999 to August 2001",August 2001 to August 2008,,11,9,9,NA,,0.3,0.2,,Not mentioned,,Not mentioned,,No,,"Brown and Edmunds, 2013",http://dx.doi.org/10.1016/j.jembe.2013.01.013,,
Wally,Ryan Industries,thermistor,thermistor,"St. John's, USVI (18.307º, -64.722º)",18.307,-64.722,Caribbean,,,Physical Oceanography,Not mentioned,,NA,,22 yrs,,,,9,14,,NA,,0.3,0.2,,Not mentioned,,Not mentioned,,No,,Edmunds and Gray 2014,http://dx.doi.org/10.1007/s10750-014-1876-7,,
