Reviewer,Brand,Model,model,Location,lat,long,country,subreg1,subreg2,Study.Type,Freq1,Freq2,Freq3,Notes,Duration1,Duration2,Duration3,Duration4,Depth1,Depth2,Depth3,Depth4,Notes.1,Accuracy1,Accuracy2,Notes.2,Calibrated,Notes.3,Shaded,Notes.4,Data.Available,Notes.5,Citation,DOI,Notes.6,X
Lena,Sea-Bird Scientific,SBE 56,SBE 56,"Moorea, French Polynesia ",-17.5,-149.83333,French Polynesia,Moorea,,Ecology,2,,NA,,2005-2019,,,,10,20,,NA,,0.002,,,Not mentioned,,Not mentioned,,Yes,,"Johnston et al., 2022",http://dx.doi.org/10.1007/s00338-021-02107-9,,
Lena,Sea-Bird Scientific,SBE 39 thermistor,SBE 39,"Moorea, French Polynesia",-17.5,-149.83333,French Polynesia,Moorea,,Ecology,Not mentioned,,NA,,6 months? Not specified,,,,10,,,NA,,0.002,,,Not mentioned,,Not mentioned,,No,,"Edmunds et al., 2022",http://dx.doi.org/10.1007/s00338-021-02204-9,,
Nicole,Sea-Bird Scientific,SBE 39 thermistor,SBE 39,"Mo’orea, French Polynesia (17.4731° S, 149.8176°W (forereef) and 14.4751° S, 149.8170° W (backreef))",-17.4731,-149.8176,French Polynesia,Moorea,,Ecology,20,,NA,,1 yr,,,,10,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Leinbach et al., 2023",http://dx.doi.org/10.1007/s00338-022-02316-w,,
Lena,Sea-Bird Scientific,SBE 39,SBE 39,"Heron Island, Davies Reef, Lizard Island, Thursday Island, Great Barrier Reef",-23.45,151.91667,Australia,,,Ecology,Not mentioned,,NA,,Not mentioned,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,?,"Scott, 2019",http://dx.doi.org/10.1016/j.jmarsys.2019.103187,,
Nicole,Sea-Bird Scientific,SBE 56,SBE 56,"Hatohobei Island and Helen Reef, Palau",7.515,134.5825,Palau,Babelthuap,,Ecology,30,1,NA,,~ 5 yrs,,,,15,35,57,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Johnston and Colin, 2022",http://dx.doi.org/10.1029/2021JC017606,,
Lena,Sea-Bird Scientific,SBE 39 Temp and Pressure,SBE 39,"Kenting National Park, Taiwan",21.9553,120.7544,Taiwan,,,Ecology,5,,NA,,13 months,,,,Not mentioned,,,NA,,0.002,,,Not mentioned,,Not mentioned,,Yes,,"Beyan et al., 2015",http://dx.doi.org/10.1093/icesjms/fsv104,accuracy at −5 to 35°C,
Lena,Sea-Bird Scientific,SBE 39 STR,SBE 39,(0°22′S 160°01′W),-0.36667,-160.01667,Line Islands,,,Ecology,15,30,0.167,15-30,2190,1095,,,10,15,Not mentioned,NA,15-Oct,0.002,,,Not mentioned,,Not mentioned,,No,,"Aston et al., 2018",http://dx.doi.org/10.1111/ecog.04097,,
Nicole,Sea-Bird Scientific,SBE 16 plus V2,SBE 16,"""Upper and Lower Florida Keys""",24.6914,-81.18968,Florida,,,Ecology,60,180,NA,,~8 months,,,,Not mentioned,1,,NA,,Not mentioned,,,Yes,,Not mentioned,,Yes,,"Manzello et al., 2019",http://dx.doi.org/10.1111/gcb.14545,,
Nicole,Sea-Bird Scientific,SBE 56,SBE 56,"""Upper and Lower Florida Keys""",24.6914,-81.18968,Florida,,,Ecology,60,180,NA,,~8 months,,,,Not mentioned,1,,NA,,Not mentioned,,,Yes,,Not mentioned,,Yes,,"Manzello et al., 2019",http://dx.doi.org/10.1111/gcb.14545,,
Nicole,Sea-Bird Scientific,SBE 39,SBE 39,"Moorea, French Polynesia",-17.5,-149.83333,French Polynesia,Moorea,,Ecology,20,,NA,,~14 yrs,,,,10,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Speare et al., 2022",http://dx.doi.org/10.1111/gcb.16000,,
Wally,Sea-Bird Scientific,SBE 37,SBE 37,Palmyra Atoll,5.86667,-162.08333,Line Islands,,,Ecology,2.5,,NA,,~1 yr,,,,20,,,NA,,0.002,,,Not mentioned,,Not mentioned,,No,,Gove et al. 2015,http://dx.doi.org/10.3354/meps11118,,
Wally,Sea-Bird Scientific,Not mentioned,Not mentioned,Florida Keys,24.58588,-81.58143,Florida,,,Ecology,120,,NA,,Not mentioned,,,,10,20,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Vega-Rodriguez et al. 2015,http://dx.doi.org/10.3354/meps11268,,
Wally,Sea-Bird Scientific,SeapHox,SeapHox,"Woody Isles, Australia (,)",-16.388,145.566,Australia,,,Ecology,10,,NA,,50d,,,,1,,,NA,,Not mentioned,,,Yes,,Not mentioned,,No,,Camp et al. 2019,http://dx.doi.org/10.3354/meps13073,,
Wally,Sea-Bird Scientific,SBE 16 plus V2,SBE 16,"Heron Island, Australia",-23.45,151.91667,Australia,,,Ecology,60,,NA,,1 yr,,,,5,8,Not mentioned,NA,reef crest,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Brown et al. 2021,http://dx.doi.org/10.3389/fmars.2018.00181,,
Wally,Sea-Bird Scientific,SEACAT,SEACAT,"Heron Island, Australia",-23.45,151.91667,Australia,,,Ecology,60,,NA,,1 yr,,,,5,8,Not mentioned,NA,reef crest,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Brown et al. 2021,http://dx.doi.org/10.3389/fmars.2018.00181,,
Wally,Sea-Bird Scientific,MicroCAT,SBE 37,Chagos Archipelago,-6,71.5,Chagos Archipelago,Diego Garcia,,Ecology,0.5,10,NA,,2 yrs,,,,5,9,,NA,,Not mentioned,,,Yes,,Not mentioned,,No,,Steyaert et al. 2022,http://dx.doi.org/10.3389/fmars.2022.932375,,
Wally,Sea-Bird Scientific,SBE 56,SBE 56,Chagos Archipelago,-6,71.5,Chagos Archipelago,Diego Garcia,,Ecology,0.5,10,NA,,2 yrs,,,,5,9,,NA,,Not mentioned,,,Yes,,Not mentioned,,No,,Steyaert et al. 2022,http://dx.doi.org/10.3389/fmars.2022.932375,,
Nicole,Sea-Bird Scientific,SBE 40,SBE 40,"Tantabiddi  (21°53'15""S, 113°59'02""E) and (Coral Bay ), Ningaloo lagoon, Australia",-23.20833,113.77167,Australia,,,Ecology,30,,NA,,26 months,,,,2,5,,NA,5-Feb,Not mentioned,,,Yes,,Not mentioned,,No,,"Fulton et al., 2014",http://dx.doi.org/10.4319/lo.2014.59.1.0156,,
Jess,Sea-Bird Scientific,SBE 39,SBE 39,17.4803 S 149.7989 W,-17.4803,-149.7989,French Polynesia,Moorea,,Ecology,Not mentioned,,NA,,56,,,,3.3,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Rivest EB, Gouhier TC (2015) Complex Environmental Forcing across the Biogeographical Range of Coral Populations. PLoS ONE 10(3): e0121742. https://doi.org/10.1371/journal.pone.0121742",https://doi.org/10.1371/journal.pone.0121742,"info on sensors from  Rivest and Gouhier (2015) but filled in for Rivest EB, Hofmann GE (2015) Effects of temperature and pCO2 on lipid use and biological parameters of planulae of Pocillopora damicornis. Journal of Experimental Marine Biology and Ecology 473: 43-52 10.1016/j.jembe.2015.07.015",
Eslam,Sea-Bird Scientific,SBE 37-SMP MicroCAT,SBE 37,Flower Garden Banks,27.8841,-93.8147,Texas,,,Ecology,Not mentioned,,NA,,1/2009-11/2012,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,,https://www.sciencedirect.com/science/article/pii/S1568988313001054?via%3Dihub,,
Erik,Sea-Bird Scientific,Not mentioned,Not mentioned,"Calerita Beach, Mexico (2 coordinates available)",24.59315,-110.47648,Mexico,,,Ecology/Biogeochemistry,Not mentioned,,NA,,1 month (?) each in Sep and Feb 2018,,,,0.3,,,NA,(max),Not mentioned,,,Not mentioned,,Not mentioned,,No,,,https://doi.org/10.1016/j.scitotenv.2020.143877,,
Jess,Sea-Bird Scientific,SBE 39,SBE 39,"05520N, 162050W",5.8833,-162.0833,Line Islands,,,Management,0.0167,60,NA,1x/sec to 1x/60min,a few min to 731days,spanning 10-year period,,,10,,,NA,top 10m (values across top 10m averaged),Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Gardner JPA, Bartz RJ, Brainard RE, Collen JD, Dunbar RB, Garton DW, Powell S (2014) Conservation management options and actions: Putative decline of coral cover at Palmyra Atoll, Northern Line Islands, as a case study. Marine Pollution Bulletin 84: 182-190",10.1016/j.marpolbul.2014.05.013,,compiled data from multiple loggers and CTDs
Jess,Sea-Bird Scientific,SBE 39,SBE 39,"Kilo Nalu Observatory, Oahu, Hawaii, United States",21.288,-157.865,Hawaii,Hawaii,,Physical Oceanography,Not mentioned,0.05,NA,(1x/3sec),approx. 40,approx. 335,,,4.3,6.3,8.7,11,"8.7, 6.3, and 4.3; 1m apart from 5-11m",Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Molina, L., Pawlak, G., Wells, J. R., Monismith, S. G., and Merrifield, M. A. (2014), Diurnal cross-shore thermal exchange on a tropical forereef, J. Geophys. Res. Oceans, 119, 6101– 6120, doi:10.1002/2013JC009621.",10.1002/2013JC009621,depths relative to mean water surface; all info here relevant to second thermistor chain,
Jess,Sea-Bird Scientific,SBE 37,SBE 37,"Scott Reef, Australia",-14.0501,121.8001,Australia,,,Physical Oceanography,Not mentioned,,NA,,not mentioned,,,,400,200,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Rayson, MD; Ivey, GN; Jones, NL; Fringer, OB (2018) Resolving high-frequency internal waves generated at an isolated coral atoll using an unstructured grid ocean model. OCEAN MODELLING 122: 67-84. http://dx.doi.org/10.1016/j.ocemod.2017.12.007",10.1016/j.ocemod.2017.12.007,11-19 sensors per mooring (in 400m and 200m isobaths) in channel between two coral reefs; Argo drifting profiling floats,
Jess,Sea-Bird Scientific,SBE 39,SBE 39,"Scott Reef, Australia",-14.0501,121.8001,Australia,,,Physical Oceanography,Not mentioned,,NA,,not mentioned,,,,400,200,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Rayson, MD; Ivey, GN; Jones, NL; Fringer, OB (2018) Resolving high-frequency internal waves generated at an isolated coral atoll using an unstructured grid ocean model. OCEAN MODELLING 122: 67-84. http://dx.doi.org/10.1016/j.ocemod.2017.12.007",10.1016/j.ocemod.2017.12.007,11-19 sensors per mooring (in 400m and 200m isobaths) in channel between two coral reefs; Argo drifting profiling floats,
Jess,Sea-Bird Scientific,SBE 56,SBE 56,"Scott Reef, Australia",-14.0501,121.8001,Australia,,,Physical Oceanography,Not mentioned,,NA,,not mentioned,,,,400,200,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Rayson, MD; Ivey, GN; Jones, NL; Fringer, OB (2018) Resolving high-frequency internal waves generated at an isolated coral atoll using an unstructured grid ocean model. OCEAN MODELLING 122: 67-84. http://dx.doi.org/10.1016/j.ocemod.2017.12.007",10.1016/j.ocemod.2017.12.007,11-19 sensors per mooring (in 400m and 200m isobaths) in channel between two coral reefs; Argo drifting profiling floats,
Eslam,Sea-Bird Scientific,SBE 37-SM MicroCAT,SBE 37,"37.395°E, 19.720°N",19.72,37.395,Saudi Arabia,,,Physical Oceanography,60,,NA,,365,,,,37,,,NA,,0.002,,,Not mentioned,,Not mentioned,,No,,"Elsheikh B. Ali, James H. Churchill, Knut Barthel, Ingunn Skjelvan, Abdirahman M. Omar, Tor E. de Lange, Elfatih B.A. Eltaib (2018) Seasonal variations of hydrographic parameters off the Sudanese coast of the Red Sea, 2009–2015. Regional Studies in Marine Science 18: 1-10",10.1016/j.rsma.2017.12.004,,
Jess,Sea-Bird Scientific,SeapHOx (SBE 37SMP-ODO MicroCAT CTD),SBE 37,28.605°S and 153.629°E,-28.605,153.629,Australia,,,Physical Oceanography,15,,NA,,approx. 60,,,,15.6,,,NA,,0.01,,,Yes,,Not mentioned,,Yes,,"Schulz KG, Hartley S and Eyre B (2019) Upwelling Amplifies Ocean Acidification on the East Australian Shelf: Implications for Marine Ecosystems. Front. Mar. Sci. 6:636. doi: 10.3389/fmars.2019.00636",10.3389/fmars.2019.00636,,
Jess,Sea-Bird Scientific,SBE 19 plus CTD,SBE 19  ,"15.1°S, 147.6°W",-15.1,-147.6,French Polynesia,,,Physical Oceanography,Not mentioned,,NA,,5,,,,37,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Vollbrecht C, Moehlenkamp P, Gove JM, Neuheimer AB and McManus MA (2021) Long-Term Presence of the Island Mass Effect at Rangiroa Atoll, French Polynesia. Front. Mar. Sci. 7:595294. doi: 10.3389/fmars.2020.595294",10.3389/fmars.2020.595294,,
Jess,Sea-Bird Scientific,SBE 56,SBE 56,4 stations on either side of Palau,7.51498,134.58252,Palau,Babelthuap,,Physical Oceanography,30,,NA,,"approx. 90-912,dependent on site/depth, (http://wtc.coralreefpalau.org/) lists site, depth, deployment dates for each model of logger",,,,2,90,,NA,Feb-90,0.1,,,Yes,,Not mentioned,,Yes,,"Schönau, M.C., H.W. Wijesekera, W.J. Teague, P.L. Colin, G. Gopalakrishnan, D.L. Rudnick, B.D. Cornuelle, Z.R. Hallock, and D.W. Wang. 2019. The end of an El Niño: A view from Palau. Oceanography 32(4):32–45, https://doi.org/10.5670/ oceanog.2019.409.",10.5670/oceanog.2019.409,,
Wally,Sea-Bird Scientific,SBE 39,SBE 39,Florida Keys ,24.58588,-81.58143,Florida,,,Physical Oceanography,10,2,NA,,4,6,,,10,20,30,NA,,0.2,0.001,,Not mentioned,,Not mentioned,,No,,Leichter et al. 2014,http://dx.doi.org/10.1002/2013JC009371,"For the hobos, they sample at 0.5 second intervals but recorded 10-min averages",
Gage,Sea-Bird Scientific,SBE 3 Temp,SBE 3,"Flower Garden Banks National Marine Sancuary, Gulf of Mexico",27.8841,-93.8147,Texas,,,Physical Oceanography,0.5,,NA,,14 days,,,,Not mentioned,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Jarosz et al. 2014,http://dx.doi.org/10.1002/2014JC009934,,
Wally,Sea-Bird Scientific,Not mentioned,Not mentioned,Myrmidon Reef (),-18.22,147.34,Australia,,,Physical Oceanography,1,5,10,,6 years,,,,Not mentioned,,,NA, (see notes),Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Benthuysen et al. 2016,http://dx.doi.org/10.1002/2016JC012294,This was using moorings - do we include? Says they positioned 6 temp loggers at 8-30 meter intervals along70 meters of mooring line,
Wally,Sea-Bird Scientific,SBE 16 plus V2,SBE 16,"Heron Island, Australia",-23.45,151.91667,Australia,,,Physical Oceanography,180,,NA,,Not mentioned,,,,Not mentioned,,,NA,,0.005,,,Not mentioned,,Not mentioned,,Yes,,Sadler et al. 2016,http://dx.doi.org/10.1002/2016PA002943,,
Nicole,Sea-Bird Scientific,SBE 39,SBE 39,"(113.947, −21.8669), (113.9332, −21.8599), (113.9068, −21.8497), (113.8867, −21.8365), Ningaloo Reef, Western Australia",-21.8669,113.947,Australia,,,Physical Oceanography,Not mentioned,,NA,,2 months,,,,50,150,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Xu et al., 2013",http://dx.doi.org/10.1002/jgrc.20098,,
Nicole,Sea-Bird Scientific,SBE37 microcat (SeapHOx),SBE 37,"Cabo Pulmo reef, Gulf of California",23.41667,-109.41667,Mexico,,,Physical Oceanography,30,,NA,,5 months,,,,15,,,NA,,0.002,,,Not mentioned,,Not mentioned,,No,,"Norzagaray-Lopez et al., 2017",http://dx.doi.org/10.1002/lno.10571,,
Wally,Sea-Bird Scientific,MicroCAT,SBE 37,Palau,7.51498,134.58252,Palau,Babelthuap,,Physical Oceanography,Not mentioned,,NA,,4 days,,,,1,3,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Shamberger et al. 2017,http://dx.doi.org/10.1002/lno.10662,,
Wally,Sea-Bird Scientific,SeaGauge,SBE 26,Palau,7.51498,134.58252,Palau,Babelthuap,,Physical Oceanography,Not mentioned,,NA,,4 days,,,,1,3,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Shamberger et al. 2017,http://dx.doi.org/10.1002/lno.10662,,
Wally,Sea-Bird Scientific,SBE 56,SBE 56,"Scott reef, Australia",-14.0501,121.8001,Australia,,,Physical Oceanography,0.008333333,,NA,,2 weeks,,,,16,41,,NA,,0.002,,,Not mentioned,,Not mentioned,,No,,Green et al. 2019,http://dx.doi.org/10.1002/lno.11051,Temp loggers on mooring between 27 and 2m above seabed (mooring 43m deep),
Wally,Sea-Bird Scientific,SBE 56,SBE 56,"Dongsha Atoll, South China Sea",20.6553,116.9008,China,,,Physical Oceanography,1,,NA,,1 week,,,,0.5,3.5,,NA,,0.002,,,Yes,,Not mentioned,,No,,Reid et al. 2019,http://dx.doi.org/10.1002/lno.11162,"""reef flat is 0.5 to 3.5m""",
Lena,Sea-Bird Scientific,SBE 56,SBE 56,Palmyra atoll,5.86667,-162.08333,Line Islands,,,Physical Oceanography,0.167,,NA,,654 days,,,,Not mentioned,,,NA,reef floor ,0.002,,,Not mentioned,,Not mentioned,,No,?,"Williams et al., 2018",http://dx.doi.org/10.1007/s00227-018-3314-2,,
Lena,Sea-Bird Scientific,SBE 56,SBE 56,"Kiritimati (Christmas Island, Republic of Kiribati)",1.8721,-157.4278,Line Islands,Christmas Island,,Physical Oceanography,2,1,60,,2011-2016,,,,8,12,,NA,12-Aug,0.002,,,Not mentioned,,Not mentioned,,No,,"Claar et al., 2019",http://dx.doi.org/10.1007/s00338-019-01850-4,,
Lena/Erik,Sea-Bird Scientific,SBE 37,SBE 37,,27.975,-93.632,Hawaii,Hawaii,,Physical Oceanography,6,,NA,,2010-2011,,,,100,,,NA,?,0.002,,,Not mentioned,,Not mentioned,,No,,"Teague et al., 2013",http://dx.doi.org/10.1016/j.csr.2013.04.039,,
Nicole,Sea-Bird Scientific,SBE 56,SBE 56,"Manihiki (Cook Islands) & Takaroa, Tatakoto and Tubuai (French Polynesia) ",-17.6797,-149.4068,French Polynesia,Tahiti,,Physical Oceanography,30,,NA,30 (SBE56 & RBRduo),2yrs 4 months - 3 yrs 7 months (SBE56),1 yr 2 months - 2 yrs 7 months (RBRduo),,2 yrs 2 months (TWR2050),1,5,20,NA,"1, 2, 2.8, 4, 5, 20 (SBE)",Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,"Van Wynsberge et al., 2017",http://dx.doi.org/10.1016/j.ecss.2017.09.033,10 different sensors used from 3 different models,
Wally,Sea-Bird Scientific,SBE 37,SBE 37,Hawaii,19.8987,-155.6659,Hawaii,Hawaii,,Physical Oceanography,Not mentioned,,NA,,2 weeks,,,,11,,,NA,,Not mentioned,,,Yes,,Not mentioned,,No,,Abaya et al. 2018,http://dx.doi.org/10.1016/j.marpolbul.2018.03.028,,
Wally,Sea-Bird Scientific,Satlantic SeaFET,Satlantic SeaFET,Guam,13.4443,144.7937,Guam,,,Physical Oceanography,1,5,10,,7 months ,,,,1,25,,NA,,Not mentioned,,,Yes,,Not mentioned,,No,,Comfort et al. 2019,http://dx.doi.org/10.1016/j.rsma.2019.100740,"Range of depths from 1 to 25 (also 6, 10, 15)",
Wally,Sea-Bird Scientific,SBE 16,SBE 16,Guam,13.4443,144.7937,Guam,,,Physical Oceanography,1,5,10,,7 months ,,,,1,25,,NA,,Not mentioned,,,Yes,,Not mentioned,,No,,Comfort et al. 2019,http://dx.doi.org/10.1016/j.rsma.2019.100740,"Range of depths from 1 to 25 (also 6, 10, 15)",
Wally,Sea-Bird Scientific,SBE 26,SBE 26,"Dongsha Atoll, South China Sea",20.6553,116.9008,China,,,Physical Oceanography,10,,NA,,1 week,,,,0.6,0.9,2,NA,,Not mentioned,,,Yes,,Not mentioned,,Yes,,Ried et al. 2020,http://dx.doi.org/10.1029/2020JC016543,"They also use a fiber optic temperature logger thingy, should we include it?",
Lena,Sea-Bird Scientific,SBE 56,SBE 56,"7°37.800'N, 134°40.150'E",7.63,134.66917,Palau,Babelthuap,,Physical Oceanography?,60,1,NA,,Onset: 2010-2014,SeaBird: 2017-2019,,,95,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Colin et al., 2019",http://dx.doi.org/10.5670/oceanog.2019.422,,
Lena/Erik,Sea-Bird Scientific,SBE 37,SBE 37,"158°W, about 1 km offshore from Makua Beach, Oahu",21.5319,-158.2294,Hawaii,Hawaii,Oahu,Physical Oceanography? ,0.25,0.25,1,,April 20 - May 12 2009 ,April 11 - April 30 2010,,,11,30,25,NA,,0.002,,,Yes,,Not mentioned,,No,,"Sevadjian et al., 2012",http://dx.doi.org/10.1016/j.csr.2012.09.006,,
Lena/Erik,Sea-Bird Scientific,SBE 39 ,SBE 39,"158°W, about 1 km offshore from Makua Beach, Oahu",21.5319,-158.2294,Hawaii,Hawaii,Oahu,Physical Oceanography? ,0.25,0.25,1,,April 20 - May 12 2009 ,April 11 - April 30 2010,,,11,30,10,20,,0.002,,,Yes,,Not mentioned,,No,,"Sevadjian et al., 2012",http://dx.doi.org/10.1016/j.csr.2012.09.006,,
Nicole,Sea-Bird Scientific,SBE 56,SBE 56,"Pool 100 (), Ofu",-14.185,-169.666,Samoa,,,Physical Oceanography/Biogeochemistry,Not mentioned,,NA,,~3 months,,,,Not mentioned,,,NA,0.1 meters above bottom,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Koweek et al., 2015",http://dx.doi.org/10.1007/s00338-015-1308-9,,
Jess,Sensornet,Oryx Distributed Temperature Sensing,Oryx Distributed Temperature Sensing,"Dongsha Atoll, South China Sea",20.6553,116.9008,China,,,Physical Oceanography,1,,NA,,10,,,,2,50,,NA,2-50 (2m spatial resolution),0.2,,,Yes,,Not mentioned,,No,,"Davis, K. A., Arthur, R. S., Reid, E. C., Rogers, J. S., Fringer, O. B., DeCarlo, T. M., & Cohen, A. L. (2020). Fate of internal waves on a shallow shelf. Journal of Geophysical Research: Oceans, 125, e2019JC015377. https://doi.org/10.1029/2019JC015377",10.1029/2019JC015377,DTS calibrated and validated with Seabird temperature loggers and CTD,
Lena,Teledyne Marine,RDI Workhouse Sentinel ADCP (600kHz),RDI Workhouse Sentinel ADCP (600kHz),"Gulf of Mexico, 30 km off the Florida coast",27.58,-89.71,Florida,,,Ecology,10,,NA,,27 days (19 Dec 2007 to 15 January 2008),,,,Not mentioned,,,NA,11.8 from seafloor,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Biesinger et al., 2013",http://dx.doi.org/10.1016/j.jembe.2013.02.004,,
Gage,U Beratherm and Grant Squirrel,2 kΩ thermistors with GS2020 logger,2 kΩ thermistors with GS2020 logger,"Phuket Island, Thailand () ",7.83333,98.425,Thailand,,,Physical Oceanography,5,30,NA,,Not mentioned,,,,Not mentioned,,,NA,,0.05,0.2 +/- 0.05% readings,,Yes,,Not mentioned,,Yes,,Sweet et al. 2017,http://dx.doi.org/10.1007/s00338-017-1572-y,"First sensor was used to take temp at surface of coral, second was an environmental monitor but needed to be read and recorded by the Grant Squirrel Logger",
Jess,Vemco,Minilog II,Minilog II,"Ras Ghanada, Abu Dhabi, UAE",24.8482,54.6903,United Arab Emirates,,,Ecology,Not mentioned,,NA,,1460,,,,6,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Riegl B, Cavalcante G, Bauman AG, Feary DA, Steiner S and Purkis S (2017) Demographic Mechanisms of Reef Coral Species Winnowing from Communities under Increased Environmental Stress. Front. Mar. Sci. 4:344. doi: 10.3389/fmars.2017.00344",10.3389/fmars.2017.00344,,
Wally,Vemco,Minilog-II-T,Minilog-II-T,"Opal Reef, Australia ()",-16.2391,145.87016,Australia,,,Ecology,Not mentioned,,NA,,Not mentioned,,,,7,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,Yes,,Scott et al. 2019,http://dx.doi.org/10.1111/1365-2435.13271,,
Wally,Vemco,Minilog II,Minilog II,"Lizard Island, Australia (-14º40', 145º27')",-14.66667,145.45,Australia,,,Ecology,Not mentioned,,NA,,Not mentioned,,,,Not mentioned,,,NA,,0.1,,,Not mentioned,,Not mentioned,,No,,Chase et al. 2018,http://dx.doi.org/10.1111/jfb.13644,,
Wally,Vemco,Minilog,Minilog,"Dongsha Atoll, South China Sea",20.6553,116.9008,China,,,Physical Oceanography,0.5,,NA,,1 day,,,,0,,190,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,Wang 2016,http://dx.doi.org/10.1007/s00338-016-1456-6,Loggers were positioned from the surface every 10m down to 190m,
Jess,Yellow Springs Instruments,6600 V2,6600 V2,25°43′32.07″N; 80°09′19.04″W,25.72558,-80.15529,Florida,,,Ecology,15,,NA,,365,,,,3,,,NA,,Not mentioned,,,Not mentioned,,Not mentioned,,No,,"Glynn, P.W., Coffman, B., Fuller, M.P.C., Moorhead, S.G., Williams, M.K., Primov, K.D., Fortson, T.N., Barrales, R.N. and Glynn, P.J. (2017), Benthic ctenophores (Platyctenida: Coeloplanidae) in south Florida: environmental conditions, habitats, abundances, and behaviors. Invertebr Biol, 136: 379-393. https://doi.org/10.1111/ivb.12189",10.1111/ivb.12189,,
Erik,Yellow Springs Instruments,Not mentioned,Not mentioned," 24.926°N, 80.740°W FLorida, US",24.926,-80.74,Florida,,,Ecology,30,,NA,,3y 7months (April 2007 to November 2010),,,,3,,,NA,,Not mentioned,,,Yes,supposedly calibrated but no spec mention for temp,Not mentioned,,No,,,https://doi.org/10.1007/s00338-013-1015-3,,
